route,t,p,lat,lon,bearing,bsp,twa,twd,tws,gust,isSample,live,twd,tws,gust,
,1613531491,2/17/21 3:11 AM,26.05739,-80.129,274,0,,,,,TRUE,,,,,"[-80.129, 26.05739], "
,1613535092,2/17/21 4:11 AM,26.0574,-80.12916,86,0,,,,,TRUE,,,,,"[-80.12916, 26.0574], "
,1613538692,2/17/21 5:11 AM,26.05741,-80.129,68,0,,,,,TRUE,,,,,"[-80.129, 26.05741], "
,1613542292,2/17/21 6:11 AM,26.05745,-80.12889,228.3,0,,,,,TRUE,,,,,"[-80.12889, 26.05745], "
,1613545895,2/17/21 7:11 AM,26.05741,-80.12894,261,0,,,,,TRUE,,,,,"[-80.12894, 26.05741], "
,1613549525,2/17/21 8:12 AM,26.0574,-80.12901,257.4,0,,,,,TRUE,,,,,"[-80.12901, 26.0574], "
,1613553096,2/17/21 9:11 AM,26.05739,-80.12906,177.9,0,,,,,TRUE,,,,,"[-80.12906, 26.05739], "
,1613556698,2/17/21 10:11 AM,26.05714,-80.12905,11.7,0,,,,,TRUE,,,,,"[-80.12905, 26.05714], "
,1613560299,2/17/21 11:11 AM,26.0574,-80.12899,235.2,0,,,,,TRUE,,,,,"[-80.12899, 26.0574], "
,1613563901,2/17/21 12:11 PM,26.0573,-80.12915,24.2,0,,,,,TRUE,,,,,"[-80.12915, 26.0573], "
,1613567502,2/17/21 1:11 PM,26.0574,-80.1291,0,0,,,,,TRUE,,,,,"[-80.1291, 26.0574], "
,1613571103,2/17/21 2:11 PM,26.0574,-80.1291,86,0,,,,,TRUE,,,,,"[-80.1291, 26.0574], "
,1613574733,2/17/21 3:12 PM,26.05741,-80.12894,261,0,,,,,TRUE,,,,,"[-80.12894, 26.05741], "
,1613578305,2/17/21 4:11 PM,26.05739,-80.12908,83.6,0,,,,,TRUE,,,,,"[-80.12908, 26.05739], "
,1613581906,2/17/21 5:11 PM,26.0574,-80.12898,105.6,0,,,,,TRUE,,,,,"[-80.12898, 26.0574], "
,1613585510,2/17/21 6:11 PM,26.05737,-80.12886,299.1,0,,,,,TRUE,,,,,"[-80.12886, 26.05737], "
,1613589111,2/17/21 7:11 PM,26.05746,-80.12904,169.8,0,,,,,TRUE,,,,,"[-80.12904, 26.05746], "
,1613592684,2/17/21 8:11 PM,26.05736,-80.12902,287.6,0,,,,,TRUE,,,,,"[-80.12902, 26.05736], "
,1613596349,2/17/21 9:12 PM,26.05738,-80.12909,0,0,,,,,TRUE,,,,,"[-80.12909, 26.05738], "
,1613596379,2/17/21 9:12 PM,26.05738,-80.12909,204.2,0,,,,,TRUE,,,,,"[-80.12909, 26.05738], "
,1613599889,2/17/21 10:11 PM,26.05734,-80.12911,60.9,0,,,,,TRUE,,,,,"[-80.12911, 26.05734], "
,1613603490,2/17/21 11:11 PM,26.05739,-80.12901,103.9,0,,,,,TRUE,,,,,"[-80.12901, 26.05739], "
,1613607122,2/18/21 12:12 AM,26.05735,-80.12883,290.4,0,,,,,TRUE,,,,,"[-80.12883, 26.05735], "
,1613610722,2/18/21 1:12 AM,26.05743,-80.12907,128.5,0,,,,,TRUE,,,,,"[-80.12907, 26.05743], "
,1613614322,2/18/21 2:12 AM,26.05738,-80.129,306.6,0,,,,,TRUE,,,,,"[-80.129, 26.05738], "
,1613617896,2/18/21 3:11 AM,26.05742,-80.12906,221.9,0,,,,,TRUE,,,,,"[-80.12906, 26.05742], "
,1613621497,2/18/21 4:11 AM,26.0574,-80.12908,117.2,0,,,,,TRUE,,,,,"[-80.12908, 26.0574], "
,1613625097,2/18/21 5:11 AM,26.05734,-80.12895,158.2,0,,,,,TRUE,,,,,"[-80.12895, 26.05734], "
,1613628728,2/18/21 6:12 AM,26.05725,-80.12891,332.8,0,,,,,TRUE,,,,,"[-80.12891, 26.05725], "
,1613632299,2/18/21 7:11 AM,26.05739,-80.12899,155.8,0,,,,,TRUE,,,,,"[-80.12899, 26.05739], "
,1613635900,2/18/21 8:11 AM,26.05733,-80.12896,0,0,,,,,TRUE,,,,,"[-80.12896, 26.05733], "
,1613639501,2/18/21 9:11 AM,26.05738,-80.12896,138.1,0,,,,,TRUE,,,,,"[-80.12896, 26.05738], "
,1613643104,2/18/21 10:11 AM,26.05726,-80.12884,304.2,0,,,,,TRUE,,,,,"[-80.12884, 26.05726], "
,1613646705,2/18/21 11:11 AM,26.05737,-80.12902,24.2,0,,,,,TRUE,,,,,"[-80.12902, 26.05737], "
